Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Brendan Teys,ADE,0.527,0.512,138.6,3.6,7.2,5.4,8.4,17.6,2.5,0.2,13.6,-1.6,1.2,101.1,110.6,-9.5,50.5,7.4,2019,PG
Peter Hooley,MEL,0.419,0.42,93.6,3.2,5.8,4.5,20.2,21.3,1.7,0.3,14.9,2.3,0.9,90.8,114.1,-23.3,50.5,6.7,2019,PG
Marshall Nelson,ILL,0.438,0.386,162.7,3.2,16.3,9.7,13.7,11.7,1.5,0.0,18.2,0.9,0.9,93.1,115.0,-21.8,15.8,6.5,2019,PG
Bijan Johnson,ADE,0.532,0.5,100.0,0.0,13.8,6.8,0.0,21.0,0.0,0.0,23.3,-10.6,2.0,86.6,116.9,-30.2,-0.7,1.1,2019,PG
Anthony Fisher,CRN,0.798,0.75,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,3.0,171.4,123.7,47.6,3.1,34.3,2018,PG
Bryce Cotton,PER,0.59,0.542,175.8,3.4,7.3,5.3,16.6,10.0,2.1,0.1,25.3,0.6,1.3,123.7,115.8,8.0,345.8,19.2,2018,PG
Mason Bragg,PER,0.515,0.333,133.3,0.0,16.2,8.6,19.5,0.0,0.0,0.0,24.6,9.3,1.3,129.3,115.5,13.9,2.7,18.7,2018,PG
Travis Trice,BRI,0.549,0.486,162.6,2.1,12.5,7.6,28.4,13.4,2.3,0.3,25.1,4.2,1.3,112.7,117.8,-5.1,305.9,17.3,2018,PG
Dzherom Rendl,SYD,0.56,0.528,166.3,4.3,6.2,5.3,26.4,15.8,1.7,0.0,28.0,0.5,1.2,109.5,119.1,-9.5,211.1,16.7,2018,PG
Edgar Sosa,NZB,0.569,0.522,163.7,1.9,7.2,4.5,23.4,13.4,1.8,0.2,25.4,1.4,1.3,117.6,116.6,1.1,241.2,16.3,2018,PG
Rotnei Clarke,ILL,0.57,0.507,169.4,2.6,8.3,5.4,16.2,10.6,1.0,0.2,26.2,0.0,1.3,114.0,116.4,-2.5,220.0,15.1,2018,PG
Kevin Lisch,SYD,0.552,0.5,157.6,2.7,10.1,6.6,14.4,9.8,3.3,0.3,21.1,2.0,1.3,114.8,110.3,4.6,81.1,15.0,2018,PG
Jason Cadee,SYD,0.6,0.566,161.8,1.8,9.4,5.6,17.6,9.7,1.7,0.6,16.6,4.3,1.4,124.5,119.4,5.1,242.2,14.2,2018,PG
Casper Ware,MEL,0.525,0.463,157.3,1.9,8.2,5.0,21.2,12.8,1.4,0.3,24.6,1.8,1.2,110.7,110.0,0.7,312.6,13.8,2018,PG
Scoochie Smith,CRN,0.517,0.471,151.4,3.4,14.1,8.4,20.6,15.1,2.1,0.5,24.3,-0.9,1.2,103.5,115.9,-12.3,166.9,13.6,2018,PG
Shea Ili,NZB,0.488,0.434,146.2,6.3,9.0,7.6,23.3,14.5,1.7,0.3,22.4,2.3,1.1,108.1,116.8,-8.7,175.7,12.9,2018,PG
